state,rptdate,sex_male,sex_female,sex_ina,eth_latinx,eth_not_latinx,eth_ina,race_native_alaskan,race_asian,race_black,race_hawaiian_pi,race_white,race_ina,age_under_22,age_22_24,age_24_under,age_25_34,age_35_44,age_45_54,age_55_64,age_55_59,age_60_64,age_65_over,age_ina,industry_ag_forest_fish_hunt,industry_mining,industry_utilities,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transport_warehouse,industry_information,industry_finance_insurance,industry_real_estate,industry_prof_scientific_tech_services,industry_management_of_cos_ent,industry_admin_support_wastemgmt_remedial,industry_educational_services,industry_healthcare_social_assistance,industry_arts_ent_rec,industry_accomodation_food,industry_other_services_excl_public_admin,industry_public_admin,industry_ina,occ_mgmt,occ_bussiness_financial_operations,occ_computer_math,occ_architecture_engineering,occ_life_physical_social_sciences,occ_communinity_social_services,occ_legal,occ_educational_library,occ_arts_design_ent_sports_media,occ_healthcare_practitioners_technical,occ_healthcare_support,occ_protective_sevice,occ_food_prep_serving,occ_building_grounds_cleaning_maintenance,occ_personal_care_service,occ_sales_related,occ_office_admin_support,occ_farming_fishing_forestry,occ_construction_extraction,occ_installation_maintenance_repair,occ_production,occ_transportation_material_moving,occ_military,occ_ina,raceeth_latinx_native,raceeth_latinx_other,raceeth_latinx_unknown,raceeth_latinx_white,raceeth_not_latinx_native,raceeth_not_latinx_other,raceeth_not_latinx_unknown,raceeth_not_latinx_white,raceeth_unknown_native,raceeth_unknown_other,raceeth_ina,raceeth_unknown_white,racecombined_native_alaskan,racecombined_asian,racecombined_black,racecombined_latinx,racecombined_hawaiian_pi,racecombined_ina,racecombined_white,racecombined_asian_pi
AL,3/14/20,905,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,845,26,2,125,872,0
AL,3/21/20,3278,6738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,94,3377,143,8,399,5951,0
AL,3/28/20,29756,51560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,959,28046,1268,102,2861,47729,0
AL,4/4/20,43249,64904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,3497,35320,1371,159,3412,63992,0
AL,4/11/20,34573,44085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,1837,27560,1084,103,2592,45132,0
AK,3/14/20,1465,2041,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,3/7/20,627,383,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,3/14/20,754,547,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,3/21/20,8132,11499,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,3/28/20,11926,16491,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,4/4/20,14273,18668,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,3/21/20,37471,43282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,3/28/20,175123,193902,0,69216,252738,47071,2671,23501,42137,1709,222434,76573,0,0,53416,110385,72251,61995,53197,0,0,17781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30461,10019,1276,2103,819,1634,2058,10773,9579,10446,8553,2873,55634,10019,17998,26101,37818,258,13361,9743,17268,18012,283,77611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,4/4/20,180151,167422,0,64910,236663,46000,2421,37584,40955,1602,192968,72043,0,0,49456,96453,70001,63525,51947,0,0,16191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31306,9118,1440,2569,921,1628,1836,8657,11015,9467,8512,3115,34631,9118,17643,31465,37410,289,28553,11437,14209,16996,329,59814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,4/11/20,207755,191260,0,75220,264717,59078,3308,51653,50312,1941,204311,87490,0,0,60989,106570,78643,72568,60732,0,0,19513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38934,6983,2192,3446,1181,2419,1832,9790,13017,10146,10502,4306,39594,10438,21889,41280,44328,306,31310,13075,16615,19073,418,55941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,3/21/20,16404,28191,0,0,0,0,0,0,0,0,0,0,0,0,7901,14988,9212,6329,4684,0,0,1372,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,9971,111,0,3611,28607,1811
VA,3/28/20,41635,67227,0,0,0,0,0,0,0,0,0,0,0,0,18216,30875,21776,17691,14558,0,0,5142,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,25022,212,0,9301,66324,6937
VA,4/4/20,59313,85372,0,0,0,0,0,0,0,0,0,0,0,0,21593,35731,28787,26092,22310,0,0,8817,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,0,31792,201,0,11858,82136,17346
VA,4/11/20,45346,57451,0,0,0,0,0,0,0,0,0,0,0,0,15657,24495,19675,18378,16202,0,0,6766,1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,24860,211,0,8351,56517,11707
MT,3/7/20,549,239,41,0,0,0,0,0,0,0,0,0,61,32,0,184,177,161,0,83,88,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,27,31,9,3,667,10,2,8,16,0,0,0,0,0,0,0,0
MT,3/14/20,596,276,50,0,0,0,0,0,0,0,0,0,67,50,0,232,215,153,0,84,83,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,28,59,20,1,713,6,4,12,30,0,0,0,0,0,0,0,0
MT,3/21/20,6437,10231,241,0,0,0,0,0,0,0,0,0,1443,1970,0,5742,3496,1978,0,923,758,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,33,155,533,561,354,60,14083,55,26,384,583,0,0,0,0,0,0,0,0
MT,3/28/20,9939,13632,496,0,0,0,0,0,0,0,0,0,2253,2298,0,7096,4850,3325,0,1670,1398,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,40,196,675,814,509,78,19947,75,76,336,852,0,0,0,0,0,0,0,0
MT,4/4/20,11788,13941,728,0,0,0,0,0,0,0,0,0,2557,2158,0,6791,5405,4023,0,2131,1787,1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,36,208,734,803,603,73,21759,106,61,544,1003,0,0,0,0,0,0,0,0
NJ,3/21/20,37406,66060,0,20286,73076,10104,0,4161,11287,0,72711,15304,0,0,9120,25585,19817,19630,19797,0,0,9517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,4/4/20,66912,83516,0,33012,103752,13664,0,13684,18458,0,92663,25623,0,0,18189,33550,27534,28712,29149,0,0,13294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,3/7/20,364,153,2059,0,0,0,0,0,0,0,0,0,0,0,36,136,136,81,104,0,0,24,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,3/14/20,369,126,2001,0,0,0,0,0,0,0,0,0,0,0,19,137,110,98,98,0,0,33,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,3/21/20,1729,1928,14900,0,0,0,0,0,0,0,0,0,0,0,480,1307,784,509,448,0,0,129,14900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,3/28/20,3001,3273,25057,0,0,0,0,0,0,0,0,0,0,0,980,1855,1388,952,825,0,0,274,25057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,4/4/20,3243,3275,26058,0,0,0,0,0,0,0,0,0,0,0,1055,1792,1428,1009,928,0,0,306,26058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,4/11/20,2585,2288,19483,0,0,0,0,0,0,0,0,0,0,0,690,1443,1026,776,666,0,0,272,19483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,3/21/20,5473,9258,935,1363,12959,1344,287,256,1206,68,11674,2175,967,1758,,4926,3200,1945,,791,701,518,860,28,4,6,526,471,172,1094,360,159,123,114,304,91,528,500,1717,602,6040,915,66,1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,3/28/20,8795,14746,992,2255,20715,1563,482,630,1768,94,18543,3016,1533,2447,,6744,5148,3388,,1622,1432,1339,880,49,4,2,1059,1490,456,2483,601,185,211,236,562,76,1308,897,3539,919,5163,2515,147,2631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,4/4/20,9773,15934,832,2312,22824,1403,491,1099,1879,113,20151,2806,1793,2184,,6498,5565,4149,,1973,1714,1941,722,90,13,10,1268,1619,562,3744,625,299,335,433,847,144,1394,990,3627,782,3582,2951,240,2984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,4/11/20,6293,8965,686,1654,13260,1030,327,538,1267,73,11756,1983,1097,1404,,3908,3069,2454,,1239,1036,1124,613,79,8,6,753,1098,353,2711,407,321,210,232,442,124,876,557,1973,397,1811,1410,147,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,3/28/20,61745,80525,,31894,96880,13496,,8137,16420,,93122,24591,,,15295,34501,26444,26753,27309,,,11968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,4/11/20,88697,96093,,39478,128336,16976,,18215,23255,,112120,31200,,,24541,38203,33881,35740,35529,,,16896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,3/7/20,425,307,0,0,0,0,0,0,0,0,0,0,24,39,0,183,154,151,136,0,0,45,0,1,0,0,104,62,15,64,24,2,20,10,29,25,78,12,62,10,72,18,8,118,43,13,18,10,4,8,1,8,13,26,22,5,70,14,11,38,89,0,49,19,74,52,0,145,0,0,0,0,0,0,0,0,0,0,0,0,4,19,47,123,0,87,452,19
RI,3/14/20,544,545,2,0,0,0,0,0,0,0,0,0,23,56,0,218,193,229,226,0,0,147,0,4,0,1,100,68,21,38,97,1,8,38,20,11,77,11,53,28,345,30,4,118,40,19,2,5,2,6,5,11,14,14,13,7,229,37,28,40,98,1,36,26,75,110,1,272,0,0,0,0,0,0,0,0,0,0,0,0,2,17,76,242,0,159,596,17
RI,3/21/20,13112,23782,277,0,0,0,0,0,0,0,0,0,1822,2846,0,9323,7271,6459,6344,0,0,3106,0,46,1,0,986,1586,659,2410,2338,207,130,403,812,78,1177,1302,6375,2225,12558,2093,225,118,2076,543,187,165,146,359,58,2519,620,1685,1314,301,10295,718,2532,1743,3928,55,568,551,1956,3033,9,1810,0,0,0,0,0,0,0,0,0,0,0,0,163,995,1602,4225,0,4793,25393,995
RI,3/28/20,11304,15843,452,0,0,0,0,0,0,0,0,0,2236,2416,0,6903,5141,4362,4255,0,0,2229,0,35,12,5,1494,1986,848,3311,582,135,172,484,814,101,1634,914,4406,858,5972,1982,175,118,1747,507,245,189,187,400,51,1422,516,1377,971,212,4936,708,1838,2056,3720,72,878,830,2221,1709,12,795,0,0,0,0,0,0,0,0,0,0,0,0,167,830,1527,4222,0,3275,17579,830
RI,4/4/20,12357,15609,519,0,0,0,0,0,0,0,0,0,2497,2393,0,7010,4991,4818,4475,0,0,2211,0,49,7,5,1426,1977,811,4351,709,169,519,410,957,173,1863,855,4301,775,4792,1844,192,118,1803,634,376,268,166,434,91,1104,616,1467,1130,247,4232,706,1788,2657,4050,88,975,904,2174,1910,21,645,0,0,0,0,0,0,0,0,0,0,0,0,142,1019,1542,4203,0,3343,18236,1019
RI,4/11/20,10571,11858,441,0,0,0,0,0,0,0,0,0,2085,1670,0,5094,4346,3825,3822,0,0,1966,0,29,5,3,787,1554,548,2108,484,126,233,205,598,119,1248,564,2226,498,2608,839,153,118,1269,462,211,203,156,270,106,760,683,904,761,198,2638,669,2666,2086,2589,112,1072,698,1921,1915,14,508,0,0,0,0,0,0,0,0,0,0,0,0,136,907,1305,3635,0,2882,14004,907