State,Source Note
Alabama," Alabama Department of Labor emailed statistics, uploaded to [DocumentCloud](https://www.documentcloud.org/search/Project:%20%22Initial%20Unemployment%20Claims%22)."
Alaska," Alaska Department of Labor emailed statistics, only a gender breakdown for one week, uploaded to [DocumentCloud](https://www.documentcloud.org/search/Project:%20%22Initial%20Unemployment%20Claims%22)."
Idaho, Idaho Department of Labor statistics available [online](https://lmi.idaho.gov/ui-weekly-claims).
Minnesota, Minnesota Department of Employment and Economic Development statistics available [online](https://mn.gov/deed/data/data-tools/unemployment-insurance-statistics/).
Montana," Montana Department of Labor & Industry emailed Excel file, csv in folder."
Nebraska," Nebraska Department of Labor emailed Excel file, csv in folder."
New Jersey," New Jersey Department of Labor and Workforce Development emailed weekly breakdowns, uploaded to [DocumentCloud](https://www.documentcloud.org/search/Project:%20%22Initial%20Unemployment%20Claims%22)."
New Mexico," New Mexico Department of Workforce Solutions emailed Excel file, csv in folder. "
New York, New York State Department of Labor statistics available [online](https://labor.ny.gov/stats/weekly-ui-claims-report.shtm).
North Dakota, North Dakota Department of Labor Market Information statistics available [online](https://www.ndlmi.com/gsipub/index.asp?docid=687).
Ohio, Ohio Department of Job and Family Services monthly statistics available [online](https://ohiolmi.com/portals/206/UC/monthly/UC237cd_2003.pdf).
Oklahoma, Oklahoma Department of Commerce monthly statistics available [online](http://esrgc.org/dashboards/okdashboard/unemployment/index).
Oregon, Oregon Employment Department statistics available [online](https://www.oregon.gov/EMPLOY/Agency/Pages/UI-Reports.aspx)
Rhode Island," Rhode Island Department of Labor and Training provided Excel spreadsheet, csv in folder."
Utah," Utah Department of Workforce Services emailed statistics, uploaded to [DocumentCloud](https://www.documentcloud.org/search/Project:%20%22Initial%20Unemployment%20Claims%22)."
Virginia," Virginia Employment Commission Economic Information & Analytics sent Excel file, csv in folder."
Wyoming, Wyoming Department of Workforce Services statistics available [online](https://public.tableau.com/views/WyomingUIClaimsCountbyWeek/UIClaimsCountbyDemographicsandWeek).